Date,Price,Open,High,Low,Volume,Chg%
2018-03-01,1599.5929999999998,1606.271,1609.716,1595.883,1470,-0.8
2018-02-28,1612.4189999999999,1606.907,1615.175,1604.681,5120,0.39
2018-02-27,1606.2179999999998,1617.454,1621.6409999999998,1604.31,7860,-0.69
2018-02-26,1617.454,1617.56,1622.86,1616.076,5840,0.09
2018-02-23,1616.076,1616.341,1616.924,1612.578,5140,-0.24
2018-02-22,1619.892,1613.85,1620.74,1610.1399999999999,6530,0.34
2018-02-21,1614.327,1616.5,1617.348,1609.663,7080,-0.21
2018-02-20,1617.772,1625.404,1629.061,1616.7649999999999,9250,-0.62
2018-02-19,1627.895,1628.001,1631.181,1625.934,4030,-0.23
2018-02-16,1631.605,1621.8,1632.983,1621.8,8670,0.77
2018-02-15,1619.097,1622.436,1624.132,1616.5529999999999,7630,-0.18
2018-02-14,1622.065,1601.6599999999999,1626.729,1593.498,12870,1.36
2018-02-13,1600.335,1599.01,1601.713,1594.8229999999999,3530,0.21
2018-02-12,1597.049,1595.406,1599.2749999999999,1590.901,6400,0.45
2018-02-09,1589.947,1593.18,1595.83,1584.117,9200,-0.35
2018-02-08,1595.459,1584.965,1597.791,1578.499,11100,0.42
2018-02-07,1588.728,1601.607,1603.7269999999999,1587.35,8730,-0.68
2018-02-06,1599.646,1606.96,1624.45,1598.48,12070,-0.34
2018-02-05,1605.158,1610.405,1616.394,1590.424,190,-0.37
2018-02-02,1611.147,1631.34,1633.301,1600.6,660,-0.37
2018-02-01,1617.136,1596.625,1619.1499999999999,1592.6499999999999,1810,1.49
2018-01-31,1593.392,1594.5049999999999,1599.116,1588.728,5480,0.04
2018-01-30,1592.7559999999999,1590.0,1600.441,1587.8799999999999,6810,-0.07
2018-01-29,1593.922,1605.105,1605.105,1590.212,8630,-0.96
2018-01-25,1609.451,1606.43,1615.228,1599.805,9880,0.41
2018-01-24,1602.932,1585.071,1605.37,1583.587,11080,1.23
2018-01-23,1583.4279999999999,1581.308,1585.972,1576.856,7020,0.23
2018-01-22,1579.7179999999998,1574.153,1580.725,1574.153,5520,0.21
2018-01-19,1576.379,1569.595,1578.075,1568.8,5950,0.33
2018-01-18,1571.132,1574.206,1574.206,1563.5529999999999,9530,-0.39
2018-01-17,1577.3329999999999,1583.4279999999999,1583.8519999999999,1574.365,6830,-0.23
2018-01-16,1580.99,1578.34,1582.58,1576.962,8690,0.23
2018-01-15,1577.4389999999999,1568.27,1578.605,1568.27,6000,0.71
2018-01-12,1566.309,1559.5249999999999,1568.27,1559.5249999999999,9230,0.51
2018-01-11,1558.412,1554.914,1559.26,1553.695,5810,0.21
2018-01-10,1555.1789999999999,1545.215,1560.532,1543.519,10830,0.58
2018-01-09,1546.1689999999999,1551.0449999999998,1551.734,1545.109,5420,-0.33
2018-01-08,1551.31,1549.455,1552.37,1546.328,5900,-0.66
2018-01-05,1561.645,1563.5,1566.1499999999999,1560.32,190,-0.02
2018-01-04,1562.0159999999998,1556.345,1562.175,1551.628,200,-0.03
2018-01-03,1562.493,1557.405,1563.076,1557.405,190,0.3
2018-01-02,1557.776,1554.596,1561.539,1554.596,1700,0.23
2018-01-01,1554.172,1554.596,1557.405,1551.575,1580,-0.16
2017-12-29,1556.716,1547.706,1558.2,1544.1019999999999,6930,0.69
